Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
484909,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
485181,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0D,0D,
491082,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
491357,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
502080,00000231,false,Rx,0,8,00,01,00,00,00,00,0F,0E,
502354,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
505137,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,0F,AB,
505381,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0F,77,
505656,00000410,false,Rx,0,8,37,00,AA,21,00,FF,0E,4D,
505907,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
506204,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0E,0E,
513162,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
513355,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
516091,00000332,false,Rx,0,8,01,00,00,00,00,00,0C,0D,
516353,00000530,false,Rx,0,8,FF,FF,79,84,27,11,D2,00,
524090,00000231,false,Rx,0,8,00,01,00,00,00,00,01,00,
524355,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
526128,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,00,A4,
526378,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,00,78,
526630,00000410,false,Rx,0,8,37,00,AA,21,00,FF,0F,4C,
526930,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
527203,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0F,0F,
535079,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
535353,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
546111,00000231,false,Rx,0,8,00,01,00,00,00,00,03,02,
546356,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
547149,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,01,A5,
547402,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,01,79,
547650,00000410,false,Rx,0,8,37,00,AA,21,00,FF,00,43,
547950,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
548224,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,00,00,
557100,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
557351,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
568193,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
568453,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,02,A6,
568904,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,02,7A,
