Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1453497836,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
1453498043,00000010,false,Rx,0,8,00,FF,61,30,00,00,08,A6,
1453498293,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453498541,00000012,false,Rx,0,8,99,99,32,00,00,00,04,36,
1453498767,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1453499018,00000400,false,Rx,0,8,00,0B,58,F0,00,01,07,A5,
1453499295,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,07,7F,
1453499568,00000410,false,Rx,0,8,43,00,00,00,00,FF,07,BB,
1453499843,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453500095,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,07,07,
1453500368,00000102,false,Rx,0,8,00,00,19,54,56,CD,0E,D8,
1453500593,00000103,false,Rx,0,8,02,00,02,00,00,00,0E,0E,
1453500821,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,00,C4,
1453508823,00000231,false,Rx,0,8,00,01,00,00,00,00,01,00,
1453509045,00000010,false,Rx,0,8,00,FF,61,30,00,00,09,A7,
1453509294,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453510122,00000102,false,Rx,0,8,00,00,19,54,56,CD,0F,D9,
1453510368,00000103,false,Rx,0,8,02,00,02,00,00,00,0F,0F,
1453510592,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,01,C5,
1453511069,00000110,false,Rx,0,8,00,00,00,7B,01,05,00,7F,
1453511366,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453511566,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453511823,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453512045,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453512296,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453512516,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453519891,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
1453520120,00000010,false,Rx,0,8,00,FF,61,30,00,00,0A,A4,
1453520365,00000102,false,Rx,0,8,00,00,19,54,56,CD,00,D6,
1453520568,00000012,false,Rx,0,8,99,99,32,00,01,00,05,36,
1453520820,00000103,false,Rx,0,8,02,00,02,00,00,00,00,00,
1453521077,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,02,C6,
1453521295,00000400,false,Rx,0,8,00,0B,58,F0,00,01,08,AA,
1453521567,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,08,70,
1453521816,00000410,false,Rx,0,8,43,00,00,00,00,FF,08,B4,
1453522100,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453522393,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,08,08,
1453522646,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453530134,00000102,false,Rx,0,8,00,00,19,54,56,CD,01,D7,
1453530369,00000103,false,Rx,0,8,02,00,02,00,00,00,01,01,
1453530604,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,03,C7,
1453530843,00000110,false,Rx,0,8,00,00,00,7B,01,05,01,7E,
1453531096,00000010,false,Rx,0,8,00,FF,61,30,00,00,0B,A5,
1453531366,00000231,false,Rx,0,8,00,01,00,00,00,00,03,02,
1453531568,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453531817,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453532045,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453532298,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453532543,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453532795,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453533020,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453533367,00000332,false,Rx,0,8,01,00,00,00,00,00,04,05,
1453533596,00000530,false,Rx,0,8,FF,FF,70,4B,64,04,49,00,
1453540182,00000102,false,Rx,0,8,00,00,19,54,56,CD,02,D4,
1453540367,00000103,false,Rx,0,8,02,00,02,00,00,00,02,02,
1453540593,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,04,C0,
1453540845,00000400,false,Rx,0,8,00,0B,58,F0,00,01,09,AB,
1453541121,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,09,71,
1453541373,00000410,false,Rx,0,8,43,00,00,00,00,FF,09,B5,
1453541644,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453541893,00000010,false,Rx,0,8,00,FF,61,30,00,00,0C,A2,
1453542145,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,09,09,
1453542365,00000012,false,Rx,0,8,99,99,32,00,00,00,06,34,
1453542653,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
1453542927,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453550134,00000102,false,Rx,0,8,00,00,19,54,56,CD,03,D5,
1453550369,00000103,false,Rx,0,8,02,00,02,00,00,00,03,03,
1453550597,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,05,C1,
1453551075,00000110,false,Rx,0,8,00,00,00,7B,01,05,02,7D,
1453551368,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453551570,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453551805,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453552047,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453552271,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453552517,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453552795,00000231,false,Rx,0,8,00,01,00,00,00,00,05,04,
1453553045,00000010,false,Rx,0,8,00,FF,61,30,00,00,0D,A3,
1453553295,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453553543,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1453560135,00000102,false,Rx,0,8,00,00,19,54,56,CD,04,D2,
1453560370,00000103,false,Rx,0,8,02,00,02,00,00,00,04,04,
1453560593,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,06,C2,
1453561818,00000400,false,Rx,0,8,00,0B,58,F0,00,01,0A,A8,
1453562095,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0A,72,
1453562369,00000410,false,Rx,0,8,43,00,00,00,00,FF,0A,B6,
1453562645,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453562919,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0A,0A,
1453563808,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
1453564044,00000010,false,Rx,0,8,00,FF,61,30,00,00,0E,A0,
1453564311,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453564516,00000012,false,Rx,0,8,99,99,32,00,01,00,07,34,
1453570142,00000102,false,Rx,0,8,00,00,19,54,56,CD,05,D3,
1453570369,00000103,false,Rx,0,8,02,00,02,00,00,00,05,05,
1453570619,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,07,C3,
1453570846,00000110,false,Rx,0,8,00,00,00,7B,01,05,03,7C,
1453571096,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453571366,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453571569,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453571818,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453572044,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453572298,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453574810,00000010,false,Rx,0,8,00,FF,61,30,00,00,0F,A1,
1453575045,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
1453575367,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453580136,00000102,false,Rx,0,8,00,00,19,54,56,CD,06,D0,
1453580369,00000103,false,Rx,0,8,02,00,02,00,00,00,06,06,
1453580595,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,08,CC,
1453582855,00000400,false,Rx,0,8,00,0B,58,F0,00,01,0B,A9,
1453583096,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0B,73,
1453583394,00000410,false,Rx,0,8,43,00,00,00,00,FF,0B,B7,
1453583671,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453583946,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0B,0B,
1453585824,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
1453586044,00000010,false,Rx,0,8,00,FF,61,30,00,00,00,AE,
1453586295,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453586517,00000012,false,Rx,0,8,99,99,32,00,00,00,08,3A,
1453590136,00000102,false,Rx,0,8,00,00,19,54,56,CD,07,D1,
1453590368,00000103,false,Rx,0,8,02,00,02,00,00,00,07,07,
1453590598,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,09,CD,
1453591071,00000110,false,Rx,0,8,00,00,00,7B,01,05,04,7B,
1453591369,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1453591570,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1453591807,00000316,false,Rx,0,8,13,AD,01,2B,53,00,00,00,
1453592046,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1453592273,00000342,false,Rx,0,8,03,C2,99,99,7C,00,03,90,
1453592518,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453596842,00000010,false,Rx,0,8,00,FF,61,30,00,00,01,AF,
1453597073,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
1453597393,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1453600134,00000102,false,Rx,0,8,00,00,19,54,56,CD,08,DE,
1453600370,00000103,false,Rx,0,8,02,00,02,00,00,00,08,08,
1453600597,00000122,false,Rx,0,8,D3,23,00,CA,1C,E2,0A,CE,
1453603879,00000400,false,Rx,0,8,00,0B,58,F0,00,01,0C,AE,
1453604097,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0C,74,
1453604369,00000410,false,Rx,0,8,43,00,00,00,00,FF,0C,B0,
1453604647,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1453604948,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,0C,0C,
1453607841,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
1453608046,00000010,false,Rx,0,8,00,FF,61,30,00,00,02,AC,
1453608297,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1453608544,00000012,false,Rx,0,8,99,99,32,00,01,00,09,3A,
1453608772,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1453610142,00000102,false,Rx,0,8,00,00,19,54,56,CD,09,DF,
1453610370,00000103,false,Rx,0,8,02,00,02,00,00,00,09,09,
