Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1694851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0C,C6,
1699851,00000103,false,Rx,0,8,02,00,02,00,00,00,0C,0C,
1704851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0E,93,
1709851,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
1714851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1719851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0B,A5,
1724851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0D,C7,
1729851,00000103,false,Rx,0,8,02,00,02,00,00,00,0D,0D,
1734851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0F,92,
1739851,00000110,false,Rx,0,8,00,00,00,7B,01,05,07,78,
1744851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1749851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1754851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1759851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1764851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1769851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1774851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,06,AA,
1779851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,06,7E,
1784851,00000410,false,Rx,0,8,3F,00,AA,30,00,FF,06,5C,
1789851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1794851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,06,06,
1799851,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
1804851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1809851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0C,A2,
1814851,00000012,false,Rx,0,8,99,99,32,00,00,00,0E,3C,
1819851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0E,C4,
1824851,00000103,false,Rx,0,8,02,00,02,00,00,00,0E,0E,
1829851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,00,9D,
1834851,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
1839851,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1844851,00000010,false,Rx,0,8,00,FF,61,30,00,00,0D,A3,
1849851,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1854851,00000102,false,Rx,0,8,00,00,19,4F,51,CD,0F,C5,
1859851,00000103,false,Rx,0,8,02,00,02,00,00,00,0F,0F,
1864851,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,01,9C,
1869851,00000110,false,Rx,0,8,00,00,00,7B,01,05,08,77,
1874851,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1879851,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1884851,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1889851,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1894851,00000342,false,Rx,0,8,03,C2,99,99,93,00,03,90,
1899851,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1904851,00000400,false,Rx,0,8,00,0B,56,F0,00,01,07,AB,
1909851,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,07,7F,
1914851,00000410,false,Rx,0,8,3F,00,AA,30,00,FF,07,5D,
1919851,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1924851,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,07,07,
1929851,00000231,false,Rx,0,8,00,01,00,00,00,00,01,00,
1934851,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
