Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1429161,00000231,false,Rx,0,8,00,01,00,00,00,00,0E,0F,
1434161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1439161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0B,DE,
1444161,00000103,false,Rx,0,8,02,00,02,00,00,00,0B,0B,
1449161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0D,90,
1454161,00000110,false,Rx,0,8,00,00,00,7B,01,05,06,79,
1459161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1464161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1469161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1474161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1479161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
1484161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1489161,00000010,false,Rx,0,8,00,FF,61,30,00,00,00,AE,
1494161,00000012,false,Rx,0,8,99,99,32,00,00,00,08,3A,
1499161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,06,AA,
1504161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,06,7E,
1509161,00000410,false,Rx,0,8,3B,00,AA,30,00,FF,06,58,
1514161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1519161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,06,06,
1524161,00000231,false,Rx,0,8,00,01,00,00,00,00,0F,0E,
1529161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1534161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0C,D9,
1539161,00000103,false,Rx,0,8,02,00,02,00,00,00,0C,0C,
1544161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0E,93,
1549161,00000010,false,Rx,0,8,00,FF,61,30,00,00,01,AF,
1554161,00000231,false,Rx,0,8,00,01,00,00,00,00,00,01,
1559161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1564161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0D,D8,
1569161,00000103,false,Rx,0,8,02,00,02,00,00,00,0D,0D,
1574161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,0F,92,
1579161,00000110,false,Rx,0,8,00,00,00,7B,01,05,07,78,
1584161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1589161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1594161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1599161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1604161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
1609161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1614161,00000010,false,Rx,0,8,00,FF,61,30,00,00,02,AC,
1619161,00000012,false,Rx,0,8,99,99,32,00,01,00,09,3A,
1624161,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1629161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,07,AB,
1634161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,07,7F,
1639161,00000410,false,Rx,0,8,3B,00,AA,30,00,FF,07,59,
1644161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1649161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,07,07,
1654161,00000231,false,Rx,0,8,00,01,00,00,00,00,01,00,
1659161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1664161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0E,DB,
1669161,00000103,false,Rx,0,8,02,00,02,00,00,00,0E,0E,
1674161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,00,9D,
1679161,00000010,false,Rx,0,8,00,FF,61,30,00,00,03,AD,
1684161,00000102,false,Rx,0,8,00,00,19,50,51,CD,0F,DA,
1689161,00000103,false,Rx,0,8,02,00,02,00,00,00,0F,0F,
1694161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,01,9C,
1699161,00000231,false,Rx,0,8,00,01,00,00,00,00,02,03,
1704161,00000110,false,Rx,0,8,00,00,00,7B,01,05,08,77,
1709161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1714161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1719161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1724161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1729161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
1734161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1739161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1744161,00000010,false,Rx,0,8,00,FF,61,30,00,00,04,AA,
1749161,00000012,false,Rx,0,8,99,99,32,00,00,00,0A,38,
1754161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,09,A5,
1759161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,08,70,
1764161,00000410,false,Rx,0,8,3B,00,AA,31,00,FF,08,57,
1769161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1774161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,08,08,
1779161,00000102,false,Rx,0,8,00,00,19,50,51,CD,00,D5,
1784161,00000103,false,Rx,0,8,02,00,02,00,00,00,00,00,
1789161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,02,9F,
1794161,00000231,false,Rx,0,8,00,01,00,00,00,00,03,02,
1799161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1804161,00000010,false,Rx,0,8,00,FF,61,30,00,00,05,AB,
1809161,00000102,false,Rx,0,8,00,00,19,50,51,CD,01,D4,
1814161,00000103,false,Rx,0,8,02,00,02,00,00,00,01,01,
1819161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,03,9E,
1824161,00000110,false,Rx,0,8,00,00,00,7B,01,05,09,76,
1829161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
1834161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1839161,00000316,false,Rx,0,8,13,AD,01,27,4E,00,00,00,
1844161,00000320,false,Rx,0,8,20,00,00,00,F0,00,82,00,
1849161,00000342,false,Rx,0,8,03,C2,99,99,94,00,03,90,
1854161,00000516,false,Rx,0,8,00,00,00,00,00,00,00,00,
1859161,00000231,false,Rx,0,8,00,01,00,00,00,00,04,05,
1864161,00000332,false,Rx,0,8,01,00,00,00,00,00,07,06,
1869161,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
1874161,00000530,false,Rx,0,8,FF,FF,6A,51,64,04,49,00,
1879161,00000400,false,Rx,0,8,00,0B,56,F0,00,01,0A,A6,
1884161,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,0A,72,
